trading_step,ds,split
229,2010-11-30,Train
230,2010-12-01,Train
231,2010-12-02,Train
232,2010-12-03,Train
233,2010-12-06,Train
234,2010-12-07,Train
235,2010-12-08,Train
236,2010-12-09,Train
237,2010-12-10,Train
238,2010-12-13,Train
239,2010-12-14,Train
240,2010-12-15,Train
241,2010-12-16,Train
242,2010-12-17,Train
243,2010-12-20,Train
244,2010-12-21,Train
245,2010-12-22,Train
246,2010-12-23,Train
247,2010-12-27,Train
248,2010-12-28,Train
249,2010-12-29,Train
250,2010-12-30,Train
251,2010-12-31,Train
252,2011-01-03,Train
253,2011-01-04,Train
254,2011-01-05,Train
255,2011-01-06,Train
256,2011-01-07,Train
257,2011-01-10,Train
258,2011-01-11,Train
259,2011-01-12,Train
260,2011-01-13,Train
261,2011-01-14,Train
262,2011-01-18,Train
263,2011-01-19,Train
264,2011-01-20,Train
265,2011-01-21,Train
266,2011-01-24,Train
267,2011-01-25,Train
268,2011-01-26,Train
269,2011-01-27,Train
270,2011-01-28,Train
271,2011-01-31,Train
272,2011-02-01,Train
273,2011-02-02,Train
274,2011-02-03,Train
275,2011-02-04,Train
276,2011-02-07,Train
277,2011-02-08,Train
278,2011-02-09,Train
279,2011-02-10,Train
280,2011-02-11,Train
281,2011-02-14,Train
282,2011-02-15,Train
283,2011-02-16,Train
284,2011-02-17,Train
285,2011-02-18,Train
286,2011-02-22,Train
287,2011-02-23,Train
288,2011-02-24,Train
289,2011-02-25,Train
290,2011-02-28,Train
291,2011-03-01,Train
292,2011-03-02,Train
293,2011-03-03,Train
294,2011-03-04,Train
295,2011-03-07,Train
296,2011-03-08,Train
297,2011-03-09,Train
298,2011-03-10,Train
299,2011-03-11,Train
300,2011-03-14,Train
301,2011-03-15,Train
302,2011-03-16,Train
303,2011-03-17,Train
304,2011-03-18,Train
305,2011-03-21,Train
306,2011-03-22,Train
307,2011-03-23,Train
308,2011-03-24,Train
309,2011-03-25,Train
310,2011-03-28,Train
311,2011-03-29,Train
312,2011-03-30,Train
313,2011-03-31,Train
314,2011-04-01,Train
315,2011-04-04,Train
316,2011-04-05,Train
317,2011-04-06,Train
318,2011-04-07,Train
319,2011-04-08,Train
320,2011-04-11,Train
321,2011-04-12,Train
322,2011-04-13,Train
323,2011-04-14,Train
324,2011-04-15,Train
325,2011-04-18,Train
326,2011-04-19,Train
327,2011-04-20,Train
328,2011-04-21,Train
329,2011-04-25,Train
330,2011-04-26,Train
331,2011-04-27,Train
332,2011-04-28,Train
333,2011-04-29,Train
334,2011-05-02,Train
335,2011-05-03,Train
336,2011-05-04,Train
337,2011-05-05,Train
338,2011-05-06,Train
339,2011-05-09,Train
340,2011-05-10,Train
341,2011-05-11,Train
342,2011-05-12,Train
343,2011-05-13,Train
344,2011-05-16,Train
345,2011-05-17,Train
346,2011-05-18,Train
347,2011-05-19,Train
348,2011-05-20,Train
349,2011-05-23,Train
350,2011-05-24,Train
351,2011-05-25,Train
352,2011-05-26,Train
353,2011-05-27,Train
354,2011-05-31,Train
355,2011-06-01,Train
356,2011-06-02,Train
357,2011-06-03,Train
358,2011-06-06,Train
359,2011-06-07,Train
360,2011-06-08,Train
361,2011-06-09,Train
362,2011-06-10,Train
363,2011-06-13,Train
364,2011-06-14,Train
365,2011-06-15,Train
366,2011-06-16,Train
367,2011-06-17,Train
368,2011-06-20,Train
369,2011-06-21,Train
370,2011-06-22,Train
371,2011-06-23,Train
372,2011-06-24,Train
373,2011-06-27,Train
374,2011-06-28,Train
375,2011-06-29,Train
376,2011-06-30,Train
377,2011-07-01,Train
378,2011-07-05,Train
379,2011-07-06,Train
380,2011-07-07,Train
381,2011-07-08,Train
382,2011-07-11,Train
383,2011-07-12,Train
384,2011-07-13,Train
385,2011-07-14,Train
386,2011-07-15,Train
387,2011-07-18,Train
388,2011-07-19,Train
389,2011-07-20,Train
390,2011-07-21,Train
391,2011-07-22,Train
392,2011-07-25,Train
393,2011-07-26,Train
394,2011-07-27,Train
395,2011-07-28,Train
396,2011-07-29,Train
397,2011-08-01,Train
398,2011-08-02,Train
399,2011-08-03,Train
400,2011-08-04,Train
401,2011-08-05,Train
402,2011-08-08,Train
403,2011-08-09,Train
404,2011-08-10,Train
405,2011-08-11,Train
406,2011-08-12,Train
407,2011-08-15,Train
408,2011-08-16,Train
409,2011-08-17,Train
410,2011-08-18,Train
411,2011-08-19,Train
412,2011-08-22,Train
413,2011-08-23,Train
414,2011-08-24,Train
415,2011-08-25,Train
416,2011-08-26,Train
417,2011-08-29,Train
418,2011-08-30,Train
419,2011-08-31,Train
420,2011-09-01,Train
421,2011-09-02,Train
422,2011-09-06,Train
423,2011-09-07,Train
424,2011-09-08,Train
425,2011-09-09,Train
426,2011-09-12,Train
427,2011-09-13,Train
428,2011-09-14,Train
429,2011-09-15,Train
430,2011-09-16,Train
431,2011-09-19,Train
432,2011-09-20,Train
433,2011-09-21,Train
434,2011-09-22,Train
435,2011-09-23,Train
436,2011-09-26,Train
437,2011-09-27,Train
438,2011-09-28,Train
439,2011-09-29,Train
440,2011-09-30,Train
441,2011-10-03,Train
442,2011-10-04,Train
443,2011-10-05,Train
444,2011-10-06,Train
445,2011-10-07,Train
446,2011-10-10,Train
447,2011-10-11,Train
448,2011-10-12,Train
449,2011-10-13,Train
450,2011-10-14,Train
451,2011-10-17,Train
452,2011-10-18,Train
453,2011-10-19,Train
454,2011-10-20,Train
455,2011-10-21,Train
456,2011-10-24,Train
457,2011-10-25,Train
458,2011-10-26,Train
459,2011-10-27,Train
460,2011-10-28,Train
461,2011-10-31,Train
462,2011-11-01,Train
463,2011-11-02,Train
464,2011-11-03,Train
465,2011-11-04,Train
466,2011-11-07,Train
467,2011-11-08,Train
468,2011-11-09,Train
469,2011-11-10,Train
470,2011-11-11,Train
471,2011-11-14,Train
472,2011-11-15,Train
473,2011-11-16,Train
474,2011-11-17,Train
475,2011-11-18,Train
476,2011-11-21,Train
477,2011-11-22,Train
478,2011-11-23,Train
479,2011-11-25,Train
480,2011-11-28,Train
481,2011-11-29,Train
482,2011-11-30,Train
483,2011-12-01,Train
484,2011-12-02,Train
485,2011-12-05,Train
486,2011-12-06,Train
487,2011-12-07,Train
488,2011-12-08,Train
489,2011-12-09,Train
490,2011-12-12,Train
491,2011-12-13,Train
492,2011-12-14,Train
493,2011-12-15,Train
494,2011-12-16,Train
495,2011-12-19,Train
496,2011-12-20,Train
497,2011-12-21,Train
498,2011-12-22,Train
499,2011-12-23,Train
500,2011-12-27,Train
501,2011-12-28,Train
502,2011-12-29,Train
503,2011-12-30,Train
504,2012-01-03,Train
505,2012-01-04,Train
506,2012-01-05,Train
507,2012-01-06,Train
508,2012-01-09,Train
509,2012-01-10,Train
510,2012-01-11,Train
511,2012-01-12,Train
512,2012-01-13,Train
513,2012-01-17,Train
514,2012-01-18,Train
515,2012-01-19,Train
516,2012-01-20,Train
517,2012-01-23,Train
518,2012-01-24,Train
519,2012-01-25,Train
520,2012-01-26,Train
521,2012-01-27,Train
522,2012-01-30,Train
523,2012-01-31,Train
524,2012-02-01,Train
525,2012-02-02,Train
526,2012-02-03,Train
527,2012-02-06,Train
528,2012-02-07,Train
529,2012-02-08,Train
530,2012-02-09,Train
531,2012-02-10,Train
532,2012-02-13,Train
533,2012-02-14,Train
534,2012-02-15,Train
535,2012-02-16,Train
536,2012-02-17,Train
537,2012-02-21,Train
538,2012-02-22,Train
539,2012-02-23,Train
540,2012-02-24,Train
541,2012-02-27,Train
542,2012-02-28,Train
543,2012-02-29,Train
544,2012-03-01,Train
545,2012-03-02,Train
546,2012-03-05,Train
547,2012-03-06,Train
548,2012-03-07,Train
549,2012-03-08,Train
550,2012-03-09,Train
551,2012-03-12,Train
552,2012-03-13,Train
553,2012-03-14,Train
554,2012-03-15,Train
555,2012-03-16,Train
556,2012-03-19,Train
557,2012-03-20,Train
558,2012-03-21,Train
559,2012-03-22,Train
560,2012-03-23,Train
561,2012-03-26,Train
562,2012-03-27,Train
563,2012-03-28,Train
564,2012-03-29,Train
565,2012-03-30,Train
566,2012-04-02,Train
567,2012-04-03,Train
568,2012-04-04,Train
569,2012-04-05,Train
570,2012-04-09,Train
571,2012-04-10,Train
572,2012-04-11,Train
573,2012-04-12,Train
574,2012-04-13,Train
575,2012-04-16,Train
576,2012-04-17,Train
577,2012-04-18,Train
578,2012-04-19,Train
579,2012-04-20,Train
580,2012-04-23,Train
581,2012-04-24,Train
582,2012-04-25,Train
583,2012-04-26,Train
584,2012-04-27,Train
585,2012-04-30,Train
586,2012-05-01,Train
587,2012-05-02,Train
588,2012-05-03,Train
589,2012-05-04,Train
590,2012-05-07,Train
591,2012-05-08,Train
592,2012-05-09,Train
593,2012-05-10,Train
594,2012-05-11,Train
595,2012-05-14,Train
596,2012-05-15,Train
597,2012-05-16,Train
598,2012-05-17,Train
599,2012-05-18,Train
600,2012-05-21,Train
601,2012-05-22,Train
602,2012-05-23,Train
603,2012-05-24,Train
604,2012-05-25,Train
605,2012-05-29,Train
606,2012-05-30,Train
607,2012-05-31,Train
608,2012-06-01,Train
609,2012-06-04,Train
610,2012-06-05,Train
611,2012-06-06,Train
612,2012-06-07,Train
613,2012-06-08,Train
614,2012-06-11,Train
615,2012-06-12,Train
616,2012-06-13,Train
617,2012-06-14,Train
618,2012-06-15,Train
619,2012-06-18,Train
620,2012-06-19,Train
621,2012-06-20,Train
622,2012-06-21,Train
623,2012-06-22,Train
624,2012-06-25,Train
625,2012-06-26,Train
626,2012-06-27,Train
627,2012-06-28,Train
628,2012-06-29,Train
629,2012-07-02,Train
630,2012-07-03,Train
631,2012-07-05,Train
632,2012-07-06,Train
633,2012-07-09,Train
634,2012-07-10,Train
635,2012-07-11,Train
636,2012-07-12,Train
637,2012-07-13,Train
638,2012-07-16,Train
639,2012-07-17,Train
640,2012-07-18,Train
641,2012-07-19,Train
642,2012-07-20,Train
643,2012-07-23,Train
644,2012-07-24,Train
645,2012-07-25,Train
646,2012-07-26,Train
647,2012-07-27,Train
648,2012-07-30,Train
649,2012-07-31,Train
650,2012-08-01,Train
651,2012-08-02,Train
652,2012-08-03,Train
653,2012-08-06,Train
654,2012-08-07,Train
655,2012-08-08,Train
656,2012-08-09,Train
657,2012-08-10,Train
658,2012-08-13,Train
659,2012-08-14,Train
660,2012-08-15,Train
661,2012-08-16,Train
662,2012-08-17,Train
663,2012-08-20,Train
664,2012-08-21,Train
665,2012-08-22,Train
666,2012-08-23,Train
667,2012-08-24,Train
668,2012-08-27,Train
669,2012-08-28,Train
670,2012-08-29,Train
671,2012-08-30,Train
672,2012-08-31,Train
673,2012-09-04,Train
674,2012-09-05,Train
675,2012-09-06,Train
676,2012-09-07,Train
677,2012-09-10,Train
678,2012-09-11,Train
679,2012-09-12,Train
680,2012-09-13,Train
681,2012-09-14,Train
682,2012-09-17,Train
683,2012-09-18,Train
684,2012-09-19,Train
685,2012-09-20,Train
686,2012-09-21,Train
687,2012-09-24,Train
688,2012-09-25,Train
689,2012-09-26,Train
690,2012-09-27,Train
691,2012-09-28,Train
692,2012-10-01,Train
693,2012-10-02,Train
694,2012-10-03,Train
695,2012-10-04,Train
696,2012-10-05,Train
697,2012-10-08,Train
698,2012-10-09,Train
699,2012-10-10,Train
700,2012-10-11,Train
701,2012-10-12,Train
702,2012-10-15,Train
703,2012-10-16,Train
704,2012-10-17,Train
705,2012-10-18,Train
706,2012-10-19,Train
707,2012-10-22,Train
708,2012-10-23,Train
709,2012-10-24,Train
710,2012-10-25,Train
711,2012-10-26,Train
712,2012-10-31,Train
713,2012-11-01,Train
714,2012-11-02,Train
715,2012-11-05,Train
716,2012-11-06,Train
717,2012-11-07,Train
718,2012-11-08,Train
719,2012-11-09,Train
720,2012-11-12,Train
721,2012-11-13,Train
722,2012-11-14,Train
723,2012-11-15,Train
724,2012-11-16,Train
725,2012-11-19,Train
726,2012-11-20,Train
727,2012-11-21,Train
728,2012-11-23,Train
729,2012-11-26,Train
730,2012-11-27,Train
731,2012-11-28,Train
732,2012-11-29,Train
733,2012-11-30,Train
734,2012-12-03,Train
735,2012-12-04,Train
736,2012-12-05,Train
737,2012-12-06,Train
738,2012-12-07,Train
739,2012-12-10,Train
740,2012-12-11,Train
741,2012-12-12,Train
742,2012-12-13,Train
743,2012-12-14,Train
744,2012-12-17,Train
745,2012-12-18,Train
746,2012-12-19,Train
747,2012-12-20,Train
748,2012-12-21,Train
749,2012-12-24,Train
750,2012-12-26,Train
751,2012-12-27,Train
752,2012-12-28,Train
753,2012-12-31,Train
754,2013-01-02,Train
755,2013-01-03,Train
756,2013-01-04,Train
757,2013-01-07,Train
758,2013-01-08,Train
759,2013-01-09,Train
760,2013-01-10,Train
761,2013-01-11,Train
762,2013-01-14,Train
763,2013-01-15,Train
764,2013-01-16,Train
765,2013-01-17,Train
766,2013-01-18,Train
767,2013-01-22,Train
768,2013-01-23,Train
769,2013-01-24,Train
770,2013-01-25,Train
771,2013-01-28,Train
772,2013-01-29,Train
773,2013-01-30,Train
774,2013-01-31,Train
775,2013-02-01,Train
776,2013-02-04,Train
777,2013-02-05,Train
778,2013-02-06,Train
779,2013-02-07,Train
780,2013-02-08,Train
781,2013-02-11,Train
782,2013-02-12,Train
783,2013-02-13,Train
784,2013-02-14,Train
785,2013-02-15,Train
786,2013-02-19,Train
787,2013-02-20,Train
788,2013-02-21,Train
789,2013-02-22,Train
790,2013-02-25,Train
791,2013-02-26,Train
792,2013-02-27,Train
793,2013-02-28,Train
794,2013-03-01,Train
795,2013-03-04,Train
796,2013-03-05,Train
797,2013-03-06,Train
798,2013-03-07,Train
799,2013-03-08,Train
800,2013-03-11,Train
801,2013-03-12,Train
802,2013-03-13,Train
803,2013-03-14,Train
804,2013-03-15,Train
805,2013-03-18,Train
806,2013-03-19,Train
807,2013-03-20,Train
808,2013-03-21,Train
809,2013-03-22,Train
810,2013-03-25,Train
811,2013-03-26,Train
812,2013-03-27,Train
813,2013-03-28,Train
814,2013-04-01,Train
815,2013-04-02,Train
816,2013-04-03,Train
817,2013-04-04,Train
818,2013-04-05,Train
819,2013-04-08,Train
820,2013-04-09,Train
821,2013-04-10,Train
822,2013-04-11,Train
823,2013-04-12,Train
824,2013-04-15,Train
825,2013-04-16,Train
826,2013-04-17,Train
827,2013-04-18,Train
828,2013-04-19,Train
829,2013-04-22,Train
830,2013-04-23,Train
831,2013-04-24,Train
832,2013-04-25,Train
833,2013-04-26,Train
834,2013-04-29,Train
835,2013-04-30,Train
836,2013-05-01,Train
837,2013-05-02,Train
838,2013-05-03,Train
839,2013-05-06,Train
840,2013-05-07,Train
841,2013-05-08,Train
842,2013-05-09,Train
843,2013-05-10,Train
844,2013-05-13,Train
845,2013-05-14,Train
846,2013-05-15,Train
847,2013-05-16,Train
848,2013-05-17,Train
849,2013-05-20,Train
850,2013-05-21,Train
851,2013-05-22,Train
852,2013-05-23,Train
853,2013-05-24,Train
854,2013-05-28,Train
855,2013-05-29,Train
856,2013-05-30,Train
857,2013-05-31,Train
858,2013-06-03,Train
859,2013-06-04,Train
860,2013-06-05,Train
861,2013-06-06,Train
862,2013-06-07,Train
863,2013-06-10,Train
864,2013-06-11,Train
865,2013-06-12,Train
866,2013-06-13,Train
867,2013-06-14,Train
868,2013-06-17,Train
869,2013-06-18,Train
870,2013-06-19,Train
871,2013-06-20,Train
872,2013-06-21,Train
873,2013-06-24,Train
874,2013-06-25,Train
875,2013-06-26,Train
876,2013-06-27,Train
877,2013-06-28,Train
878,2013-07-01,Train
879,2013-07-02,Train
880,2013-07-03,Train
881,2013-07-05,Train
882,2013-07-08,Train
883,2013-07-09,Train
884,2013-07-10,Train
885,2013-07-11,Train
886,2013-07-12,Train
887,2013-07-15,Train
888,2013-07-16,Train
889,2013-07-17,Train
890,2013-07-18,Train
891,2013-07-19,Train
892,2013-07-22,Train
893,2013-07-23,Train
894,2013-07-24,Train
895,2013-07-25,Train
896,2013-07-26,Train
897,2013-07-29,Train
898,2013-07-30,Train
899,2013-07-31,Train
900,2013-08-01,Train
901,2013-08-02,Train
902,2013-08-05,Train
903,2013-08-06,Train
904,2013-08-07,Train
905,2013-08-08,Train
906,2013-08-09,Train
907,2013-08-12,Train
908,2013-08-13,Train
909,2013-08-14,Train
910,2013-08-15,Train
911,2013-08-16,Train
912,2013-08-19,Train
913,2013-08-20,Train
914,2013-08-21,Train
915,2013-08-22,Train
916,2013-08-23,Train
917,2013-08-26,Train
918,2013-08-27,Train
919,2013-08-28,Train
920,2013-08-29,Train
921,2013-08-30,Train
922,2013-09-03,Train
923,2013-09-04,Train
924,2013-09-05,Train
925,2013-09-06,Train
926,2013-09-09,Train
927,2013-09-10,Train
928,2013-09-11,Train
929,2013-09-12,Train
930,2013-09-13,Train
931,2013-09-16,Train
932,2013-09-17,Train
933,2013-09-18,Train
934,2013-09-19,Train
935,2013-09-20,Train
936,2013-09-23,Train
937,2013-09-24,Train
938,2013-09-25,Train
939,2013-09-26,Train
940,2013-09-27,Train
941,2013-09-30,Train
942,2013-10-01,Train
943,2013-10-02,Train
944,2013-10-03,Train
945,2013-10-04,Train
946,2013-10-07,Train
947,2013-10-08,Train
948,2013-10-09,Train
949,2013-10-10,Train
950,2013-10-11,Train
951,2013-10-14,Train
952,2013-10-15,Train
953,2013-10-16,Train
954,2013-10-17,Train
955,2013-10-18,Train
956,2013-10-21,Train
957,2013-10-22,Train
958,2013-10-23,Train
959,2013-10-24,Train
960,2013-10-25,Train
961,2013-10-28,Train
962,2013-10-29,Train
963,2013-10-30,Train
964,2013-10-31,Train
965,2013-11-01,Train
966,2013-11-04,Train
967,2013-11-05,Train
968,2013-11-06,Train
969,2013-11-07,Train
970,2013-11-08,Train
971,2013-11-11,Train
972,2013-11-12,Train
973,2013-11-13,Train
974,2013-11-14,Train
975,2013-11-15,Train
976,2013-11-18,Train
977,2013-11-19,Train
978,2013-11-20,Train
979,2013-11-21,Train
980,2013-11-22,Train
981,2013-11-25,Train
982,2013-11-26,Train
983,2013-11-27,Train
984,2013-11-29,Train
985,2013-12-02,Train
986,2013-12-03,Train
987,2013-12-04,Train
988,2013-12-05,Train
989,2013-12-06,Train
990,2013-12-09,Train
991,2013-12-10,Train
992,2013-12-11,Train
993,2013-12-12,Train
994,2013-12-13,Train
995,2013-12-16,Train
996,2013-12-17,Train
997,2013-12-18,Train
998,2013-12-19,Train
999,2013-12-20,Train
1000,2013-12-23,Train
1001,2013-12-24,Train
1002,2013-12-26,Train
1003,2013-12-27,Train
1004,2013-12-30,Train
1005,2013-12-31,Train
1006,2014-01-02,Train
1007,2014-01-03,Train
1008,2014-01-06,Train
1009,2014-01-07,Train
1010,2014-01-08,Train
1011,2014-01-09,Train
1012,2014-01-10,Train
1013,2014-01-13,Train
1014,2014-01-14,Train
1015,2014-01-15,Train
1016,2014-01-16,Train
1017,2014-01-17,Train
1018,2014-01-21,Train
1019,2014-01-22,Train
1020,2014-01-23,Train
1021,2014-01-24,Train
1022,2014-01-27,Train
1023,2014-01-28,Train
1024,2014-01-29,Train
1025,2014-01-30,Train
1026,2014-01-31,Train
1027,2014-02-03,Train
1028,2014-02-04,Train
1029,2014-02-05,Train
1030,2014-02-06,Train
1031,2014-02-07,Train
1032,2014-02-10,Train
1033,2014-02-11,Train
1034,2014-02-12,Train
1035,2014-02-13,Train
1036,2014-02-14,Train
1037,2014-02-18,Train
1038,2014-02-19,Train
1039,2014-02-20,Train
1040,2014-02-21,Train
1041,2014-02-24,Train
1042,2014-02-25,Train
1043,2014-02-26,Train
1044,2014-02-27,Train
1045,2014-02-28,Train
1046,2014-03-03,Train
1047,2014-03-04,Train
1048,2014-03-05,Train
1049,2014-03-06,Train
1050,2014-03-07,Train
1051,2014-03-10,Train
1052,2014-03-11,Train
1053,2014-03-12,Train
1054,2014-03-13,Train
1055,2014-03-14,Train
1056,2014-03-17,Train
1057,2014-03-18,Train
1058,2014-03-19,Train
1059,2014-03-20,Train
1060,2014-03-21,Train
1061,2014-03-24,Train
1062,2014-03-25,Train
1063,2014-03-26,Train
1064,2014-03-27,Train
1065,2014-03-28,Train
1066,2014-03-31,Train
1067,2014-04-01,Train
1068,2014-04-02,Train
1069,2014-04-03,Train
1070,2014-04-04,Train
1071,2014-04-07,Train
1072,2014-04-08,Train
1073,2014-04-09,Train
1074,2014-04-10,Train
1075,2014-04-11,Train
1076,2014-04-14,Train
1077,2014-04-15,Train
1078,2014-04-16,Train
1079,2014-04-17,Train
1080,2014-04-21,Train
1081,2014-04-22,Train
1082,2014-04-23,Train
1083,2014-04-24,Train
1084,2014-04-25,Train
1085,2014-04-28,Train
1086,2014-04-29,Train
1087,2014-04-30,Train
1088,2014-05-01,Train
1089,2014-05-02,Train
1090,2014-05-05,Train
1091,2014-05-06,Train
1092,2014-05-07,Train
1093,2014-05-08,Train
1094,2014-05-09,Train
1095,2014-05-12,Train
1096,2014-05-13,Train
1097,2014-05-14,Train
1098,2014-05-15,Train
1099,2014-05-16,Train
1100,2014-05-19,Train
1101,2014-05-20,Train
1102,2014-05-21,Train
1103,2014-05-22,Train
1104,2014-05-23,Train
1105,2014-05-27,Train
1106,2014-05-28,Train
1107,2014-05-29,Train
1108,2014-05-30,Train
1109,2014-06-02,Train
1110,2014-06-03,Train
1111,2014-06-04,Train
1112,2014-06-05,Train
1113,2014-06-06,Train
1114,2014-06-09,Train
1115,2014-06-10,Train
1116,2014-06-11,Train
1117,2014-06-12,Train
1118,2014-06-13,Train
1119,2014-06-16,Train
1120,2014-06-17,Train
1121,2014-06-18,Train
1122,2014-06-19,Train
1123,2014-06-20,Train
1124,2014-06-23,Train
1125,2014-06-24,Train
1126,2014-06-25,Train
1127,2014-06-26,Train
1128,2014-06-27,Train
1129,2014-06-30,Train
1130,2014-07-01,Train
1131,2014-07-02,Train
1132,2014-07-03,Train
1133,2014-07-07,Train
1134,2014-07-08,Train
1135,2014-07-09,Train
1136,2014-07-10,Train
1137,2014-07-11,Train
1138,2014-07-14,Train
1139,2014-07-15,Train
1140,2014-07-16,Train
1141,2014-07-17,Train
1142,2014-07-18,Train
1143,2014-07-21,Train
1144,2014-07-22,Train
1145,2014-07-23,Train
1146,2014-07-24,Train
1147,2014-07-25,Train
1148,2014-07-28,Train
1149,2014-07-29,Train
1150,2014-07-30,Train
1151,2014-07-31,Train
